node_index,x_m,y_m,z_m,zone_id,response_external_C_per_1SD,response_meeting_C_per_1SD,response_server_C_per_1SD,response_working_C_per_1SD
52,1.75,8.75,0.5,1,0.39295869861182525,1.1958377944441043,1.9743039462886738,1.4808022473650775
53,2.25,0.25,0.5,4,0.503548471048058,1.154441557352991,2.052099678729068,1.2197983434413333
54,2.25,0.75,0.5,4,0.4940148301284234,1.1525648138908162,2.0460255664362097,1.2604983214667158
55,2.25,1.25,0.5,4,0.49192871897426604,1.1606194517191224,2.05244680556385,1.2678062609196246
56,2.25,1.75,0.5,4,0.4958456444883269,1.163345655073545,2.0814415376687605,1.2766954243241961
57,2.25,2.25,0.5,4,0.4798854707305833,1.1364135089248004,2.1010893998246525,1.3058289314752243
58,2.25,2.75,0.5,4,0.4612838919794953,1.134350190841252,2.106618509988513,1.3352801915256245
59,2.25,3.25,0.5,4,0.45302562421949066,1.1382130873370693,2.125837584798877,1.3767015277119135
60,2.25,3.75,0.5,4,0.4453121777192134,1.1183795009687991,2.1077498142750253,1.4071624267098766
61,2.25,8.25,0.5,3,0.39216319107381636,1.2318446840174644,1.9998658450137787,1.5641235410930918
62,2.25,8.75,0.5,1,0.39182638278032844,1.1880613462240495,1.9729121879315192,1.4492413586314707
63,2.75,0.25,0.5,4,0.5108892331048495,1.1824520926515014,2.071062725804724,1.2111587662341956
64,2.75,0.75,0.5,4,0.5070206873479689,1.1868014462303906,2.072572362231583,1.2380142321026046
65,2.75,1.25,0.5,4,0.5001923084997214,1.1707057447893447,2.0552943561968036,1.2441285782865377
66,2.75,1.75,0.5,4,0.4898647825310518,1.1676103206294062,2.066022158919739,1.2637860133175642
67,2.75,2.25,0.5,4,0.4706740944214782,1.1607275159383292,2.0836807477400248,1.287709625910521
68,2.75,2.75,0.5,4,0.44798590936097277,1.1521286308505472,2.0803375096494907,1.3162586603604474
69,2.75,3.25,0.5,4,0.4383814467685089,1.1432999205987386,2.0905353684995487,1.368582091313238
70,2.75,3.75,0.5,4,0.4440014775703002,1.1614182178574786,2.127240936998271,1.4002132200074873
71,2.75,8.25,0.5,3,0.39758252680708284,1.2425615086151607,2.010121198670605,1.5630551974146158
72,2.75,8.75,0.5,1,0.392050712979874,1.1913618416031073,1.971281689039065,1.4321602081831564
73,3.25,0.25,0.5,4,0.5222503869315961,1.1920984670693278,2.0905308587573876,1.2181279723540326
74,3.25,0.75,0.5,4,0.5144561571520315,1.2037882261156254,2.088297593931466,1.242678365804005
75,3.25,1.25,0.5,4,0.5011540642104582,1.1811476307598379,2.067188018165821,1.2395208648647797
76,3.25,1.75,0.5,4,0.49203675483930776,1.1747137768270075,2.0624014056114652,1.2569871060584914
77,3.25,2.25,0.5,4,0.4824486370114245,1.1736957065108566,2.0590515916752166,1.2709138373718865
78,3.25,2.75,0.5,4,0.4598351547540617,1.1778244439046437,2.0725398092009706,1.274876872864413
79,3.25,3.25,0.5,4,0.4420672657672372,1.1603360717425442,2.0761712531181176,1.3441919581078816
80,3.25,3.75,0.5,4,0.44379691262180715,1.1573168843653985,2.119743755997612,1.4569644634808525
81,3.25,8.25,0.5,3,0.40882412895384035,1.2825379489821562,2.0231454642172433,1.559538205510736
82,3.25,8.75,0.5,1,0.39003452279066236,1.2003777485560991,1.9744626311053326,1.4208784063045763
